rho,inv_nu
357.1439560244492, 2.5824393649816884
371.60523777684415, 3.484482523978869
241.15311562516644, 4.354218564167503
342.99036111784994, 4.763418400856793
225.77350697916603, 6.250539931243825
334.98813630527263, 8.58112577883233
505.81350626911944, 4.2513328165772215
484.28962799476926, 4.582072507588624
471.0898623101364, 4.320420347567801
440.0608273225919, 5.4094897723709074
418.49197943231775, 5.289633911824051
418.5558836233676, 5.92995390614368
393.3965669248475, 5.83360058697183
302.3875315822795, 5.923066454441642
271.39163210120523, 7.34415365407715
257.1717661816653, 8.861097140287452
251.25944509860767, 9.619639888049324
244.102175701023, 9.90380052425105
217.86358822032742, 10.99315396768105
233.4538440146032, 11.207517026324979
235.8845700963888, 11.563392365815993
201.29346816328695, 12.960550996136165
215.69794619030426, 13.293420826849232
203.39283918036955, 21.996248587303185
